Country,Year,Category,Cat,value
Afghanistan,2010,Crops,Wheat and products,678
Afghanistan,2011,Crops,Wheat and products,508
Afghanistan,2012,Crops,Wheat and products,758
Afghanistan,2013,Crops,Wheat and products,775
Afghanistan,2010,Crops,Rice (Milled Equivalent),31
Afghanistan,2011,Crops,Rice (Milled Equivalent),31
Afghanistan,2012,Crops,Rice (Milled Equivalent),23
Afghanistan,2013,Crops,Rice (Milled Equivalent),24
Afghanistan,2010,Crops,Barley and products,44
Afghanistan,2011,Crops,Barley and products,34
Afghanistan,2012,Crops,Barley and products,52
Afghanistan,2013,Crops,Barley and products,52
Afghanistan,2010,Crops,Maize and products,30
Afghanistan,2011,Crops,Maize and products,30
Afghanistan,2012,Crops,Maize and products,31
Afghanistan,2013,Crops,Maize and products,31
Afghanistan,2010,Crops,Millet and products,1
Afghanistan,2011,Crops,Millet and products,1
Afghanistan,2012,Crops,Millet and products,1
Afghanistan,2013,Crops,Millet and products,1
Afghanistan,2010,Vegetables,Potatoes and products,7
Afghanistan,2011,Vegetables,Potatoes and products,6
Afghanistan,2012,Vegetables,Potatoes and products,7
Afghanistan,2013,Vegetables,Potatoes and products,9
Afghanistan,2010,Vegetables,"Pulses, Other and products",2
Afghanistan,2011,Vegetables,"Pulses, Other and products",3
Afghanistan,2012,Vegetables,"Pulses, Other and products",2
Afghanistan,2013,Vegetables,"Pulses, Other and products",3
Afghanistan,2010,Seeds,Sesame seed,1
Afghanistan,2011,Seeds,Sesame seed,1
Afghanistan,2012,Seeds,Sesame seed,1
Afghanistan,2013,Seeds,Sesame seed,1
Afghanistan,2010,Crops,Olives (including preserved),0
Afghanistan,2011,Crops,Olives (including preserved),0
Afghanistan,2012,Crops,Olives (including preserved),0
Afghanistan,2013,Crops,Olives (including preserved),0
Afghanistan,2010,Oil,"Oilcrops, Other",0
Afghanistan,2011,Oil,"Oilcrops, Other",0
Afghanistan,2012,Oil,"Oilcrops, Other",0
Afghanistan,2013,Oil,"Oilcrops, Other",0
Afghanistan,2010,Vegetables,"Vegetables, Other",157
Afghanistan,2011,Vegetables,"Vegetables, Other",129
Afghanistan,2012,Vegetables,"Vegetables, Other",126
Afghanistan,2013,Vegetables,"Vegetables, Other",122
Afghanistan,2010,Fruits,"Oranges, Mandarines",0
Afghanistan,2011,Fruits,"Oranges, Mandarines",0
Afghanistan,2012,Fruits,"Oranges, Mandarines",0
Afghanistan,2013,Fruits,"Oranges, Mandarines",0
Afghanistan,2010,Fruits,"Citrus, Other",0
Afghanistan,2011,Fruits,"Citrus, Other",2
Afghanistan,2012,Fruits,"Citrus, Other",1
Afghanistan,2013,Fruits,"Citrus, Other",2
Afghanistan,2010,Fruits,Apples and products,4
Afghanistan,2011,Fruits,Apples and products,3
Afghanistan,2012,Fruits,Apples and products,4
Afghanistan,2013,Fruits,Apples and products,4
Afghanistan,2010,Fruits,Grapes and products (excl wine),20
Afghanistan,2011,Fruits,Grapes and products (excl wine),25
Afghanistan,2012,Fruits,Grapes and products (excl wine),30
Afghanistan,2013,Fruits,Grapes and products (excl wine),31
Afghanistan,2010,Fruits,"Fruits, Other",18
Afghanistan,2011,Fruits,"Fruits, Other",15
Afghanistan,2012,Fruits,"Fruits, Other",16
Afghanistan,2013,Fruits,"Fruits, Other",17
Afghanistan,2010,Meat,Eggs,3
Afghanistan,2011,Meat,Eggs,4
Afghanistan,2012,Meat,Eggs,3
Afghanistan,2013,Meat,Eggs,5
Afghanistan,2010,Meat,Milk - Excluding Butter,54
Afghanistan,2011,Meat,Milk - Excluding Butter,55
Afghanistan,2012,Meat,Milk - Excluding Butter,58
Afghanistan,2013,Meat,Milk - Excluding Butter,58
Albania,2010,Crops,Wheat and products,44
Albania,2011,Crops,Wheat and products,44
Albania,2012,Crops,Wheat and products,45
Albania,2013,Crops,Wheat and products,44
Albania,2010,Crops,Rice (Milled Equivalent),0
Albania,2011,Crops,Rice (Milled Equivalent),0
Albania,2012,Crops,Rice (Milled Equivalent),0
Albania,2013,Crops,Rice (Milled Equivalent),0
Albania,2010,Crops,Barley and products,1
Albania,2011,Crops,Barley and products,1
Albania,2012,Crops,Barley and products,1
Albania,2013,Crops,Barley and products,1
Albania,2010,Crops,Maize and products,43
Albania,2011,Crops,Maize and products,41
Albania,2012,Crops,Maize and products,41
Albania,2013,Crops,Maize and products,44
Albania,2010,Crops,Rye and products,0
Albania,2011,Crops,Rye and products,1
Albania,2012,Crops,Rye and products,1
Albania,2013,Crops,Rye and products,1
Albania,2010,Crops,Oats,2
Albania,2011,Crops,Oats,2
Albania,2012,Crops,Oats,1
Albania,2013,Crops,Oats,1
Albania,2010,Crops,Sorghum and products,0
Albania,2011,Crops,Sorghum and products,0
Albania,2012,Crops,Sorghum and products,0
Albania,2013,Crops,Sorghum and products,0
Albania,2010,Vegetables,Potatoes and products,20
Albania,2011,Vegetables,Potatoes and products,21
Albania,2012,Vegetables,Potatoes and products,22
Albania,2013,Vegetables,Potatoes and products,23
Albania,2010,Vegetables,Beans,7
Albania,2011,Vegetables,Beans,8
Albania,2012,Vegetables,Beans,8
Albania,2013,Vegetables,Beans,8
Albania,2010,Vegetables,"Pulses, Other and products",0
Albania,2011,Vegetables,"Pulses, Other and products",0
Albania,2012,Vegetables,"Pulses, Other and products",0
Albania,2013,Vegetables,"Pulses, Other and products",0
Albania,2010,Vegetables,Nuts and products,0
Albania,2011,Vegetables,Nuts and products,0
Albania,2012,Vegetables,Nuts and products,0
Albania,2013,Vegetables,Nuts and products,0
Albania,2010,Vegetables,Soyabeans,0
Albania,2011,Vegetables,Soyabeans,0
Albania,2012,Vegetables,Soyabeans,0
Albania,2013,Vegetables,Soyabeans,0
Albania,2010,Seeds,Sunflower seed,0
Albania,2011,Seeds,Sunflower seed,0
Albania,2012,Seeds,Sunflower seed,0
Albania,2013,Seeds,Sunflower seed,0
Albania,2010,Seeds,Cottonseed,0
Albania,2011,Seeds,Cottonseed,0
Albania,2012,Seeds,Cottonseed,0
Albania,2013,Seeds,Cottonseed,0
Albania,2010,Crops,Olives (including preserved),1
Albania,2011,Crops,Olives (including preserved),1
Albania,2012,Crops,Olives (including preserved),2
Albania,2013,Crops,Olives (including preserved),2
Albania,2010,Vegetables,Tomatoes and products,19
Albania,2011,Vegetables,Tomatoes and products,20
Albania,2012,Vegetables,Tomatoes and products,20
Albania,2013,Vegetables,Tomatoes and products,22
Albania,2010,Vegetables,"Vegetables, Other",21
Albania,2011,Vegetables,"Vegetables, Other",25
Albania,2012,Vegetables,"Vegetables, Other",25
Albania,2013,Vegetables,"Vegetables, Other",22
Albania,2010,Fruits,"Oranges, Mandarines",1
Albania,2011,Fruits,"Oranges, Mandarines",1
Albania,2012,Fruits,"Oranges, Mandarines",1
Albania,2013,Fruits,"Oranges, Mandarines",1
Albania,2010,Fruits,Apples and products,4
Albania,2011,Fruits,Apples and products,4
Albania,2012,Fruits,Apples and products,4
Albania,2013,Fruits,Apples and products,4
Albania,2010,Fruits,Grapes and products (excl wine),4
Albania,2011,Fruits,Grapes and products (excl wine),2
Albania,2012,Fruits,Grapes and products (excl wine),2
Albania,2013,Fruits,Grapes and products (excl wine),2
Albania,2010,Fruits,"Fruits, Other",6
Albania,2011,Fruits,"Fruits, Other",6
Albania,2012,Fruits,"Fruits, Other",7
Albania,2013,Fruits,"Fruits, Other",7
Albania,2010,Meat,Eggs,5
Albania,2011,Meat,Eggs,5
Albania,2012,Meat,Eggs,7
Albania,2013,Meat,Eggs,7
Albania,2010,Meat,Milk - Excluding Butter,80
Albania,2011,Meat,Milk - Excluding Butter,84
Albania,2012,Meat,Milk - Excluding Butter,84
Albania,2013,Meat,Milk - Excluding Butter,87
Algeria,2010,Crops,Wheat and products,571
Algeria,2011,Crops,Wheat and products,701
Algeria,2012,Crops,Wheat and products,685
Algeria,2013,Crops,Wheat and products,672
Algeria,2010,Crops,Rice (Milled Equivalent),0
Algeria,2011,Crops,Rice (Milled Equivalent),0
Algeria,2012,Crops,Rice (Milled Equivalent),0
Algeria,2013,Crops,Rice (Milled Equivalent),0
Algeria,2010,Crops,Barley and products,88
Algeria,2011,Crops,Barley and products,89
Algeria,2012,Crops,Barley and products,120
Algeria,2013,Crops,Barley and products,121
Algeria,2010,Crops,Maize and products,181
Algeria,2011,Crops,Maize and products,221
Algeria,2012,Crops,Maize and products,213
Algeria,2013,Crops,Maize and products,225
Algeria,2010,Crops,Rye and products,0
Algeria,2011,Crops,Rye and products,0
Algeria,2012,Crops,Rye and products,0
Algeria,2013,Crops,Rye and products,0
Algeria,2010,Crops,Oats,4
Algeria,2011,Crops,Oats,4
Algeria,2012,Crops,Oats,6
Algeria,2013,Crops,Oats,6
Algeria,2010,Crops,Sorghum and products,0
Algeria,2011,Crops,Sorghum and products,0
Algeria,2012,Crops,Sorghum and products,0
Algeria,2013,Crops,Sorghum and products,0
Algeria,2010,Vegetables,Potatoes and products,853
Algeria,2011,Vegetables,Potatoes and products,992
Algeria,2012,Vegetables,Potatoes and products,1094
Algeria,2013,Vegetables,Potatoes and products,1773
Algeria,2010,Crops,Sugar beet,0
Algeria,2011,Crops,Sugar beet,0
Algeria,2012,Crops,Sugar beet,0
Algeria,2013,Crops,Sugar beet,0
Algeria,2010,Vegetables,Beans,3
Algeria,2011,Vegetables,Beans,4
Algeria,2012,Vegetables,Beans,3
Algeria,2013,Vegetables,Beans,3
Algeria,2010,Vegetables,Peas,0
Algeria,2011,Vegetables,Peas,0
Algeria,2012,Vegetables,Peas,0
Algeria,2013,Vegetables,Peas,0
Algeria,2010,Vegetables,"Pulses, Other and products",8
Algeria,2011,Vegetables,"Pulses, Other and products",9
Algeria,2012,Vegetables,"Pulses, Other and products",9
Algeria,2013,Vegetables,"Pulses, Other and products",12
Algeria,2010,Seeds,Sunflower seed,0
Algeria,2011,Seeds,Sunflower seed,0
Algeria,2012,Seeds,Sunflower seed,0
Algeria,2013,Seeds,Sunflower seed,0
Algeria,2010,Seeds,Rape and Mustardseed,4
Algeria,2011,Seeds,Rape and Mustardseed,5
Algeria,2012,Seeds,Rape and Mustardseed,5
Algeria,2013,Seeds,Rape and Mustardseed,5
Algeria,2010,Seeds,Cottonseed,0
Algeria,2011,Seeds,Cottonseed,0
Algeria,2012,Seeds,Cottonseed,0
Algeria,2013,Seeds,Cottonseed,0
Algeria,2010,Vegetables,Tomatoes and products,57
Algeria,2011,Vegetables,Tomatoes and products,62
Algeria,2012,Vegetables,Tomatoes and products,64
Algeria,2013,Vegetables,Tomatoes and products,78
Algeria,2010,Vegetables,Onions,50
Algeria,2011,Vegetables,Onions,57
Algeria,2012,Vegetables,Onions,59
Algeria,2013,Vegetables,Onions,67
Algeria,2010,Vegetables,"Vegetables, Other",314
Algeria,2011,Vegetables,"Vegetables, Other",329
Algeria,2012,Vegetables,"Vegetables, Other",363
Algeria,2013,Vegetables,"Vegetables, Other",398
Algeria,2010,Fruits,"Oranges, Mandarines",37
Algeria,2011,Fruits,"Oranges, Mandarines",52
Algeria,2012,Fruits,"Oranges, Mandarines",52
Algeria,2013,Fruits,"Oranges, Mandarines",58
Algeria,2010,Fruits,"Lemons, Limes and products",5
Algeria,2011,Fruits,"Lemons, Limes and products",7
Algeria,2012,Fruits,"Lemons, Limes and products",8
Algeria,2013,Fruits,"Lemons, Limes and products",8
Algeria,2010,Fruits,Grapefruit and products,0
Algeria,2011,Fruits,Grapefruit and products,0
Algeria,2012,Fruits,Grapefruit and products,0
Algeria,2013,Fruits,Grapefruit and products,0
Algeria,2010,Fruits,Bananas,6
Algeria,2011,Fruits,Bananas,25
Algeria,2012,Fruits,Bananas,22
Algeria,2013,Fruits,Bananas,27
Algeria,2010,Fruits,Apples and products,24
Algeria,2011,Fruits,Apples and products,27
Algeria,2012,Fruits,Apples and products,26
Algeria,2013,Fruits,Apples and products,28
Algeria,2010,Fruits,Pineapples and products,0
Algeria,2011,Fruits,Pineapples and products,0
Algeria,2012,Fruits,Pineapples and products,0
Algeria,2013,Fruits,Pineapples and products,0
Algeria,2010,Fruits,Dates,26
Algeria,2011,Fruits,Dates,29
Algeria,2012,Fruits,Dates,32
Algeria,2013,Fruits,Dates,34
Algeria,2010,Fruits,Grapes and products (excl wine),11
Algeria,2011,Fruits,Grapes and products (excl wine),11
Algeria,2012,Fruits,Grapes and products (excl wine),14
Algeria,2013,Fruits,Grapes and products (excl wine),10
Algeria,2010,Fruits,"Fruits, Other",50
Algeria,2011,Fruits,"Fruits, Other",55
Algeria,2012,Fruits,"Fruits, Other",54
Algeria,2013,Fruits,"Fruits, Other",61
Algeria,2010,Spices,Pimento,1
Algeria,2011,Spices,Pimento,1
Algeria,2012,Spices,Pimento,1
Algeria,2013,Spices,Pimento,1
Algeria,2010,Meat,Eggs,8
Algeria,2011,Meat,Eggs,8
Algeria,2012,Meat,Eggs,9
Algeria,2013,Meat,Eggs,10
Algeria,2010,Meat,Milk - Excluding Butter,132
Algeria,2011,Meat,Milk - Excluding Butter,137
Algeria,2012,Meat,Milk - Excluding Butter,145
Algeria,2013,Meat,Milk - Excluding Butter,156
Angola,2010,Crops,Wheat and products,18
Angola,2011,Crops,Wheat and products,19
Angola,2012,Crops,Wheat and products,21
Angola,2013,Crops,Wheat and products,23
Angola,2010,Crops,Rice (Milled Equivalent),5
Angola,2011,Crops,Rice (Milled Equivalent),5
Angola,2012,Crops,Rice (Milled Equivalent),8
Angola,2013,Crops,Rice (Milled Equivalent),7
Angola,2010,Crops,Maize and products,154
Angola,2011,Crops,Maize and products,174
Angola,2012,Crops,Maize and products,139
Angola,2013,Crops,Maize and products,252
Angola,2010,Crops,Millet and products,4
Angola,2011,Crops,Millet and products,5
Angola,2012,Crops,Millet and products,1
Angola,2013,Crops,Millet and products,3
Angola,2010,Crops,Cassava and products,2079
Angola,2011,Crops,Cassava and products,2150
Angola,2012,Crops,Cassava and products,1595
Angola,2013,Crops,Cassava and products,3282
Angola,2010,Vegetables,Potatoes and products,85
Angola,2011,Vegetables,Potatoes and products,86
Angola,2012,Vegetables,Potatoes and products,55
Angola,2013,Vegetables,Potatoes and products,57
Angola,2010,Vegetables,Sweet potatoes,109
Angola,2011,Vegetables,Sweet potatoes,115
Angola,2012,Vegetables,Sweet potatoes,19
Angola,2013,Vegetables,Sweet potatoes,144
Angola,2010,Crops,Sugar cane,25
Angola,2011,Crops,Sugar cane,26
Angola,2012,Crops,Sugar cane,26
Angola,2013,Crops,Sugar cane,26
Angola,2010,Vegetables,Beans,21
Angola,2011,Vegetables,Beans,25
Angola,2012,Vegetables,Beans,17
Angola,2013,Vegetables,Beans,26
Angola,2010,Seeds,Groundnuts (Shelled Eq),5
Angola,2011,Seeds,Groundnuts (Shelled Eq),9
Angola,2012,Seeds,Groundnuts (Shelled Eq),1
Angola,2013,Seeds,Groundnuts (Shelled Eq),3
Angola,2010,Seeds,Sunflower seed,0
Angola,2011,Seeds,Sunflower seed,0
Angola,2012,Seeds,Sunflower seed,0
Angola,2013,Seeds,Sunflower seed,0
Angola,2010,Seeds,Cottonseed,0
Angola,2011,Seeds,Cottonseed,0
Angola,2012,Seeds,Cottonseed,0
Angola,2013,Seeds,Cottonseed,0
Angola,2010,Seeds,Sesame seed,0
Angola,2011,Seeds,Sesame seed,0
Angola,2012,Seeds,Sesame seed,0
Angola,2013,Seeds,Sesame seed,0
Angola,2010,Oil,"Oilcrops, Other",0
Angola,2011,Oil,"Oilcrops, Other",0
Angola,2012,Oil,"Oilcrops, Other",0
Angola,2013,Oil,"Oilcrops, Other",0
Angola,2010,Vegetables,Tomatoes and products,2
Angola,2011,Vegetables,Tomatoes and products,2
Angola,2012,Vegetables,Tomatoes and products,2
Angola,2013,Vegetables,Tomatoes and products,2
Angola,2010,Vegetables,"Vegetables, Other",184
Angola,2011,Vegetables,"Vegetables, Other",200
Angola,2012,Vegetables,"Vegetables, Other",186
Angola,2013,Vegetables,"Vegetables, Other",197
Angola,2010,Fruits,"Citrus, Other",25
Angola,2011,Fruits,"Citrus, Other",27
Angola,2012,Fruits,"Citrus, Other",20
Angola,2013,Fruits,"Citrus, Other",30
Angola,2010,Fruits,Bananas,394
Angola,2011,Fruits,Bananas,535
Angola,2012,Fruits,Bananas,604
Angola,2013,Fruits,Bananas,625
Angola,2010,Fruits,Pineapples and products,31
Angola,2011,Fruits,Pineapples and products,33
Angola,2012,Fruits,Pineapples and products,28
Angola,2013,Fruits,Pineapples and products,48
Angola,2010,Fruits,"Fruits, Other",3
Angola,2011,Fruits,"Fruits, Other",4
Angola,2012,Fruits,"Fruits, Other",4
Angola,2013,Fruits,"Fruits, Other",4
Angola,2010,Fermented,"Beverages, Fermented",28
Angola,2011,Fermented,"Beverages, Fermented",49
Angola,2012,Fermented,"Beverages, Fermented",56
Angola,2013,Fermented,"Beverages, Fermented",57
Angola,2010,Meat,Eggs,2
Angola,2011,Meat,Eggs,3
Angola,2012,Meat,Eggs,3
Angola,2013,Meat,Eggs,2
Angola,2010,Meat,Milk - Excluding Butter,10
Angola,2011,Meat,Milk - Excluding Butter,10
Angola,2012,Meat,Milk - Excluding Butter,11
Angola,2013,Meat,Milk - Excluding Butter,11
Antigua and Barbuda,2010,Crops,Rice (Milled Equivalent),0
Antigua and Barbuda,2011,Crops,Rice (Milled Equivalent),0
Antigua and Barbuda,2012,Crops,Rice (Milled Equivalent),0
Antigua and Barbuda,2013,Crops,Rice (Milled Equivalent),0
Antigua and Barbuda,2010,Crops,Maize and products,0
Antigua and Barbuda,2011,Crops,Maize and products,0
Antigua and Barbuda,2012,Crops,Maize and products,0
Antigua and Barbuda,2013,Crops,Maize and products,0
Antigua and Barbuda,2010,Crops,Cassava and products,0
Antigua and Barbuda,2011,Crops,Cassava and products,0
Antigua and Barbuda,2012,Crops,Cassava and products,0
Antigua and Barbuda,2013,Crops,Cassava and products,0
Antigua and Barbuda,2010,Vegetables,Potatoes and products,0
Antigua and Barbuda,2011,Vegetables,Potatoes and products,0
Antigua and Barbuda,2012,Vegetables,Potatoes and products,0
Antigua and Barbuda,2013,Vegetables,Potatoes and products,0
Antigua and Barbuda,2010,Vegetables,Sweet potatoes,0
Antigua and Barbuda,2011,Vegetables,Sweet potatoes,0
Antigua and Barbuda,2012,Vegetables,Sweet potatoes,0
Antigua and Barbuda,2013,Vegetables,Sweet potatoes,0
Antigua and Barbuda,2010,Vegetables,Yams,0
Antigua and Barbuda,2011,Vegetables,Yams,0
Antigua and Barbuda,2012,Vegetables,Yams,0
Antigua and Barbuda,2013,Vegetables,Yams,0
Antigua and Barbuda,2010,Crops,"Roots, Other",0
Antigua and Barbuda,2011,Crops,"Roots, Other",0
Antigua and Barbuda,2012,Crops,"Roots, Other",0
Antigua and Barbuda,2013,Crops,"Roots, Other",0
Antigua and Barbuda,2010,Vegetables,"Pulses, Other and products",0
Antigua and Barbuda,2011,Vegetables,"Pulses, Other and products",0
Antigua and Barbuda,2012,Vegetables,"Pulses, Other and products",0
Antigua and Barbuda,2013,Vegetables,"Pulses, Other and products",0
Antigua and Barbuda,2010,Seeds,Cottonseed,0
Antigua and Barbuda,2011,Seeds,Cottonseed,0
Antigua and Barbuda,2012,Seeds,Cottonseed,0
Antigua and Barbuda,2013,Seeds,Cottonseed,0
Antigua and Barbuda,2010,Vegetables,Tomatoes and products,0
Antigua and Barbuda,2011,Vegetables,Tomatoes and products,0
Antigua and Barbuda,2012,Vegetables,Tomatoes and products,0
Antigua and Barbuda,2013,Vegetables,Tomatoes and products,0
Antigua and Barbuda,2010,Vegetables,Onions,0
Antigua and Barbuda,2011,Vegetables,Onions,0
Antigua and Barbuda,2012,Vegetables,Onions,0
Antigua and Barbuda,2013,Vegetables,Onions,0
Antigua and Barbuda,2010,Vegetables,"Vegetables, Other",0
Antigua and Barbuda,2011,Vegetables,"Vegetables, Other",0
Antigua and Barbuda,2012,Vegetables,"Vegetables, Other",0
Antigua and Barbuda,2013,Vegetables,"Vegetables, Other",0
Antigua and Barbuda,2010,Fruits,"Oranges, Mandarines",0
Antigua and Barbuda,2011,Fruits,"Oranges, Mandarines",0
Antigua and Barbuda,2012,Fruits,"Oranges, Mandarines",0
Antigua and Barbuda,2013,Fruits,"Oranges, Mandarines",0
Antigua and Barbuda,2010,Fruits,"Lemons, Limes and products",0
Antigua and Barbuda,2011,Fruits,"Lemons, Limes and products",0
Antigua and Barbuda,2012,Fruits,"Lemons, Limes and products",0
Antigua and Barbuda,2013,Fruits,"Lemons, Limes and products",0
Antigua and Barbuda,2010,Fruits,Bananas,0
Antigua and Barbuda,2011,Fruits,Bananas,0
Antigua and Barbuda,2012,Fruits,Bananas,0
Antigua and Barbuda,2013,Fruits,Bananas,0
Antigua and Barbuda,2010,Fruits,Pineapples and products,0
Antigua and Barbuda,2011,Fruits,Pineapples and products,0
Antigua and Barbuda,2012,Fruits,Pineapples and products,0
Antigua and Barbuda,2013,Fruits,Pineapples and products,0
Antigua and Barbuda,2010,Fruits,"Fruits, Other",1
Antigua and Barbuda,2011,Fruits,"Fruits, Other",0
Antigua and Barbuda,2012,Fruits,"Fruits, Other",0
Antigua and Barbuda,2013,Fruits,"Fruits, Other",0
Antigua and Barbuda,2010,Meat,Eggs,0
Antigua and Barbuda,2011,Meat,Eggs,0
Antigua and Barbuda,2012,Meat,Eggs,0
Antigua and Barbuda,2013,Meat,Eggs,0
Antigua and Barbuda,2010,Meat,Milk - Excluding Butter,0
Antigua and Barbuda,2011,Meat,Milk - Excluding Butter,0
Antigua and Barbuda,2012,Meat,Milk - Excluding Butter,0
Antigua and Barbuda,2013,Meat,Milk - Excluding Butter,0
Argentina,2010,Crops,Wheat and products,599
Argentina,2011,Crops,Wheat and products,417
Argentina,2012,Crops,Wheat and products,442
Argentina,2013,Crops,Wheat and products,424
Argentina,2010,Crops,Rice (Milled Equivalent),48
Argentina,2011,Crops,Rice (Milled Equivalent),65
Argentina,2012,Crops,Rice (Milled Equivalent),59
Argentina,2013,Crops,Rice (Milled Equivalent),62
Argentina,2010,Crops,Barley and products,89
Argentina,2011,Crops,Barley and products,123
Argentina,2012,Crops,Barley and products,155
Argentina,2013,Crops,Barley and products,144
Argentina,2010,Crops,Maize and products,400
Argentina,2011,Crops,Maize and products,448
Argentina,2012,Crops,Maize and products,450
Argentina,2013,Crops,Maize and products,516
Argentina,2010,Crops,Rye and products,1
Argentina,2011,Crops,Rye and products,1
Argentina,2012,Crops,Rye and products,1
Argentina,2013,Crops,Rye and products,2
Argentina,2010,Crops,Oats,66
Argentina,2011,Crops,Oats,44
Argentina,2012,Crops,Oats,50
Argentina,2013,Crops,Oats,44
Argentina,2010,Crops,Millet and products,0
Argentina,2011,Crops,Millet and products,1
Argentina,2012,Crops,Millet and products,1
Argentina,2013,Crops,Millet and products,0
Argentina,2010,Crops,Sorghum and products,73
Argentina,2011,Crops,Sorghum and products,89
Argentina,2012,Crops,Sorghum and products,85
Argentina,2013,Crops,Sorghum and products,73
Argentina,2010,Crops,"Cereals, Other",1
Argentina,2011,Crops,"Cereals, Other",1
Argentina,2012,Crops,"Cereals, Other",1
Argentina,2013,Crops,"Cereals, Other",1
Argentina,2010,Crops,Cassava and products,15
Argentina,2011,Crops,Cassava and products,15
Argentina,2012,Crops,Cassava and products,16
Argentina,2013,Crops,Cassava and products,16
Argentina,2010,Vegetables,Potatoes and products,200
Argentina,2011,Vegetables,Potatoes and products,213
Argentina,2012,Vegetables,Potatoes and products,220
Argentina,2013,Vegetables,Potatoes and products,200
Argentina,2010,Vegetables,Sweet potatoes,28
Argentina,2011,Vegetables,Sweet potatoes,31
Argentina,2012,Vegetables,Sweet potatoes,32
Argentina,2013,Vegetables,Sweet potatoes,32
Argentina,2010,Crops,Sugar cane,10
Argentina,2011,Crops,Sugar cane,7
Argentina,2012,Crops,Sugar cane,16
Argentina,2013,Crops,Sugar cane,50
Argentina,2010,Vegetables,Beans,5
Argentina,2011,Vegetables,Beans,6
Argentina,2012,Vegetables,Beans,5
Argentina,2013,Vegetables,Beans,2
Argentina,2010,Vegetables,Peas,1
Argentina,2011,Vegetables,Peas,1
Argentina,2012,Vegetables,Peas,2
Argentina,2013,Vegetables,Peas,1
Argentina,2010,Vegetables,"Pulses, Other and products",1
Argentina,2011,Vegetables,"Pulses, Other and products",1
Argentina,2012,Vegetables,"Pulses, Other and products",2
Argentina,2013,Vegetables,"Pulses, Other and products",1
Argentina,2010,Vegetables,Nuts and products,0
Argentina,2011,Vegetables,Nuts and products,0
Argentina,2012,Vegetables,Nuts and products,0
Argentina,2013,Vegetables,Nuts and products,0
Argentina,2010,Vegetables,Soyabeans,527
Argentina,2011,Vegetables,Soyabeans,489
Argentina,2012,Vegetables,Soyabeans,401
Argentina,2013,Vegetables,Soyabeans,493
Argentina,2010,Seeds,Groundnuts (Shelled Eq),4
Argentina,2011,Seeds,Groundnuts (Shelled Eq),5
Argentina,2012,Seeds,Groundnuts (Shelled Eq),5
Argentina,2013,Seeds,Groundnuts (Shelled Eq),7
Argentina,2010,Seeds,Sunflower seed,37
Argentina,2011,Seeds,Sunflower seed,46
Argentina,2012,Seeds,Sunflower seed,28
Argentina,2013,Seeds,Sunflower seed,32
Argentina,2010,Oil,"Oilcrops, Other",4
Argentina,2011,Oil,"Oilcrops, Other",4
Argentina,2012,Oil,"Oilcrops, Other",5
Argentina,2013,Oil,"Oilcrops, Other",5
Argentina,2010,Vegetables,Tomatoes and products,72
Argentina,2011,Vegetables,Tomatoes and products,70
Argentina,2012,Vegetables,Tomatoes and products,72
Argentina,2013,Vegetables,Tomatoes and products,69
Argentina,2010,Vegetables,Onions,22
Argentina,2011,Vegetables,Onions,22
Argentina,2012,Vegetables,Onions,22
Argentina,2013,Vegetables,Onions,22
Argentina,2010,Vegetables,"Vegetables, Other",251
Argentina,2011,Vegetables,"Vegetables, Other",276
Argentina,2012,Vegetables,"Vegetables, Other",283
Argentina,2013,Vegetables,"Vegetables, Other",268
Argentina,2010,Fruits,"Oranges, Mandarines",88
Argentina,2011,Fruits,"Oranges, Mandarines",118
Argentina,2012,Fruits,"Oranges, Mandarines",92
Argentina,2013,Fruits,"Oranges, Mandarines",82
Argentina,2010,Fruits,"Lemons, Limes and products",78
Argentina,2011,Fruits,"Lemons, Limes and products",123
Argentina,2012,Fruits,"Lemons, Limes and products",102
Argentina,2013,Fruits,"Lemons, Limes and products",91
Argentina,2010,Fruits,Grapefruit and products,13
Argentina,2011,Fruits,Grapefruit and products,12
Argentina,2012,Fruits,Grapefruit and products,9
Argentina,2013,Fruits,Grapefruit and products,12
Argentina,2010,Fruits,Bananas,37
Argentina,2011,Fruits,Bananas,40
Argentina,2012,Fruits,Bananas,38
Argentina,2013,Fruits,Bananas,40
Argentina,2010,Fruits,Apples and products,74
Argentina,2011,Fruits,Apples and products,73
Argentina,2012,Fruits,Apples and products,66
Argentina,2013,Fruits,Apples and products,87
Argentina,2010,Fruits,Pineapples and products,1
Argentina,2011,Fruits,Pineapples and products,1
Argentina,2012,Fruits,Pineapples and products,1
Argentina,2013,Fruits,Pineapples and products,1
Argentina,2010,Fruits,Grapes and products (excl wine),1
Argentina,2011,Fruits,Grapes and products (excl wine),69
Argentina,2012,Fruits,Grapes and products (excl wine),2
Argentina,2013,Fruits,Grapes and products (excl wine),145
Argentina,2010,Fruits,"Fruits, Other",88
Argentina,2011,Fruits,"Fruits, Other",93
Argentina,2012,Fruits,"Fruits, Other",95
Argentina,2013,Fruits,"Fruits, Other",86
Argentina,2010,Fermented,Wine,183
Argentina,2011,Fermented,Wine,85
Argentina,2012,Fermented,Wine,6
Argentina,2013,Fermented,Wine,139
Argentina,2010,Meat,Bovine Meat,124
Argentina,2011,Meat,Bovine Meat,7
Argentina,2012,Meat,Bovine Meat,111
Argentina,2013,Meat,Bovine Meat,289
